vile,year,transmission,fuel,mileage,marque,model,doors,orgine,premiere_main,puissance_fiscale,etat,price,ABS,Airbags,CD/MP3/Bluetooth,Caméra de recul,Climatisation,ESP,Jantes aluminium,Limiteur de vitesse,Ordinateur de bord,Radar de recul,Régulateur de vitesse,Sièges cuir,Système de navigation/GPS,Toit ouvrant,Verrouillage centralisé à distance,Vitres électriques
Casablanca,2021.0,Automatique,Diesel,110000.0,Volkswagen,Golf 7,5.0,WW au Maroc,Non,8.0,Excellent,217000,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Casablanca,2021.0,Manuelle,Diesel,140000.0,Nissan,Micra,5.0,WW au Maroc,Non,6.0,Très bon,125000,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Rabat,2016.0,Automatique,Diesel,190000.0,Mercedes-Benz,Classe E,5.0,WW au Maroc,Oui,9.0,Neuf,265000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Casablanca,2020.0,Automatique,Essence,110000.0,Ford,Mustang,3.0,Dédouanée,Oui,13.0,Très bon,385000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2010.0,Automatique,Diesel,250000.0,Jaguar,XF,5.0,WW au Maroc,Non,12.0,Bon,88000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Casablanca,2021.0,Manuelle,Diesel,150000.0,Citroën,C3,5.0,WW au Maroc,Non,6.0,Excellent,130000,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
Casablanca,2017.0,Manuelle,Diesel,50000.0,Volkswagen,Tiguan,5.0,WW au Maroc,Oui,8.0,Neuf,225000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casablanca,2019.0,Automatique,Diesel,150000.0,Volvo,XC60,5.0,WW au Maroc,Non,8.0,Bon,260000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Casablanca,2006.0,Manuelle,Diesel,300000.0,Peugeot,206,5.0,WW au Maroc,Non,6.0,Très bon,56000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
Rabat,2012.0,Manuelle,Essence,160000.0,Peugeot,508,5.0,WW au Maroc,Non,9.0,Bon,83000,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
